State,Rank,Name,City,Zip,URL,Latitude,Longitude,ADMrate,Ownership,Citytype,SAT,AvgCost,Major_agriculture,Major_NatureResource,Major_Architecture,Major_CS,Major_Edu,Major_Engineering,Major_Bio,Major_MathStat,Major_Psychology,Major_SocialScience,Major_Business,Major_History,Earn,CrimeRate,HappyRank,HappyScore,ACT,Enrollment,FBI.TotalCrime,FBI.CrimeRate,Application.Deadline
PA,59,Villanova University,Villanova,19085-1699,www.villanova.edu,40.039388,-75.345457,0.4933,Private nonprofit,Suburb,1313,58519,0,1,0,1,1,1,1,1,1,1,1,1,70700,314.1,34,49.98,30,6895,24124,7.86,15-Jan-19
PA,60,Carnegie Mellon University,Pittsburgh,15213-3890,www.cmu.edu/,40.444616,-79.942914,0.246,Private nonprofit,City,1436,61990,0,1,1,1,1,1,1,1,1,1,1,1,87400,314.1,34,49.98,32,5819,24124,7.86,1-Jan-19
OR,61,Reed College,Portland,97202-8199,www.reed.edu,45.480376,-122.63064,0.3873,Private nonprofit,City,1383,59595,0,1,0,0,0,0,1,1,1,1,0,1,36000,232.3,32,51.4,31,1335,14408,8.82,15-Jan-19
CA,62,University of Southern California,Los Angeles,90089,www.usc.edu/,34.021058,-118.283858,0.1802,Private nonprofit,City,1380,62092,0,1,1,1,0,1,1,1,1,1,1,1,74300,396.1,10,59.96,31,18392,237318,5.99,10-Jan-19
MD,63,Johns Hopkins University,Baltimore,21218-2688,www.jhu.edu,39.32838,-76.620799,0.1608,Private nonprofit,City,1439,61481,0,1,0,1,1,1,1,1,1,1,1,1,73700,446.1,23,55.14,33,6039,80966,13.03,1-Jan-19
MN,64,Macalester College,Saint Paul,55105-1899,www.macalester.edu,44.936709,-93.169855,0.3635,Private nonprofit,City,1354,57478,0,1,0,1,1,0,1,1,1,1,0,1,43500,229.1,2,69.09,30,2053,23970,7.97,15-Jan-19
WI,65,University of Wisconsin-Madison,Madison,53706-1380,www.wisc.edu,43.073858,-89.405356,0.5694,Public,City,1286,23839,1,1,1,1,1,1,1,1,1,1,1,1,57600,290.3,15,57.8,29,29302,15596,6.27,1-Feb-19
PA,66,Bryn Mawr College,Bryn Mawr,19010,www.brynmawr.edu,40.028541,-75.314988,0.4047,Private nonprofit,Suburb,1313,59760,0,0,0,1,0,0,1,1,1,1,0,1,48500,314.1,34,49.98,29,1303,182,1.75,15-Jan-19
IL,67,University of Illinois at Urbana-Champaign,Champaign,61820-5711,www.illinois.edu/,40.108864,-88.230309,0.5904,Public,City,1326,29086,1,1,1,1,1,1,1,1,1,1,1,1,58100,370,25,52.6,29,31875,5992,7.02,1-Dec-18
IA,68,Grinnell College,Grinnell,50112-1690,www.grinnell.edu,41.747048,-92.721246,0.2801,Private nonprofit,Town,1398,56354,0,0,0,1,0,0,1,1,1,1,0,1,46500,273.5,7,60.92,32,1670,496,5.49,15-Jan-19
MA,69,Brandeis University,Waltham,02454-9110,www.brandeis.edu/,42.364947,-71.254716,0.3522,Private nonprofit,City,1369,61023,0,1,0,1,1,0,1,1,1,1,1,1,53300,391.4,16,57.42,31,3715,1648,2.59,1-Jan-19
GA,70,Emory University,Atlanta,30322,www.emory.edu,33.798836,-84.325782,0.2682,Private nonprofit,Suburb,1366,59908,0,1,0,1,1,0,1,1,1,1,1,1,71800,377.3,37,47.43,31,7730,61348,13.2,15-Jan-19
WA,71,University of Washington-Seattle Campus,Seattle,98195-4550,www.washington.edu,47.656213,-122.313115,0.5521,Public,City,1240,25637,1,1,1,1,1,1,1,1,1,1,1,1,57200,285.2,12,59.26,28,29468,83694,12.24,1-Dec-18
PA,72,Lehigh University,Bethlehem,18015,www.lehigh.edu,40.607158,-75.378887,0.3427,Private nonprofit,City,1326,57043,0,1,1,1,0,1,1,1,1,1,1,1,75600,314.1,34,49.98,30,5034,182,1.75,1-Jan-19
NY,73,New York University,New York,10012-1091,www.nyu.edu,40.729452,-73.997264,0.3545,Private nonprofit,City,1344,61958,0,0,0,1,1,1,1,1,1,2,2,1,62800,381.8,26,52.54,30,24539,359896,4.21,1-Jan-19
FL,74,University of Florida,Gainesville,32611,www.ufl.edu/,29.649428,-82.339958,0.4561,Public,City,1273,20085,1,1,2,1,1,1,2,1,2,2,2,1,54300,540.5,35,49.14,29,31879,11094,8.57,1-Nov-18
MA,75,Boston University,Boston,2215,www.bu.edu,42.349581,-71.09984,0.3451,Private nonprofit,City,1300,61396,0,0,1,1,1,1,1,1,1,1,1,1,59800,391.4,16,57.42,29,16457,40220,6.05,1-Jan-19
PA,76,Dickinson College,Carlisle,17013-2896,www.dickinson.edu,40.202796,-77.197854,0.4809,Private nonprofit,City,NULL,60109,0,1,0,1,0,0,1,1,1,1,1,1,52200,314.1,34,49.98,NULL,2315,1130,5.96,1-Feb-19
CT,77,Connecticut College,New London,06320-4196,www.conncoll.edu,41.379833,-72.107321,0.376,Private nonprofit,City,NULL,60682,0,0,1,1,1,0,1,1,1,1,0,1,49300,236.9,17,57.04,NULL,1875,1588,5.81,1-Jan-19
FL,78,AI Miami International University of Art and Design,Miami,33132-1418,www.artinstitutes.edu/miami/,25.790008,-80.18839,NULL,Private for-profit,City,NULL,29975,0,0,0,1,0,0,0,0,0,0,1,0,30700,540.5,35,49.14,NULL,2778,47202,10.78,4-Jan-19
CA,79,Scripps College,Claremont,91711-3905,www.scrippscollege.edu,34.103655,-117.711336,0.284,Private nonprofit,Suburb,1360,61370,0,1,0,1,0,1,1,1,1,1,1,1,43300,396.1,10,59.96,31,962,10598,6.86,1-Jan-19
